CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
TX011_GOVERNED,001,4JP3-TX011_GOVERNED-001-1f6a,R1,stabilization_mode,REC-AUTO,,3.503,2.627,6.13,PASS
TX011_GOVERNED,002,4JP3-TX011_GOVERNED-002-3841,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,003,4JP3-TX011_GOVERNED-003-739c,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,004,4JP3-TX011_GOVERNED-004-d551,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,005,4JP3-TX011_GOVERNED-005-138d,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,006,4JP3-TX011_GOVERNED-006-aedd,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,007,4JP3-TX011_GOVERNED-007-7142,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,008,4JP3-TX011_GOVERNED-008-a983,R1,,,,,,,FAIL-TIMEOUT_ACTION
TX011_GOVERNED,009,4JP3-TX011_GOVERNED-009-7c50,R1,,,,,,,FAIL-TIMEOUT_ACTION
